Brand,Name,Price,Power,Milage,First listing,Info,Dealer,Link
11,BMW 520 i TOURING +LED+MET+PDC+KLIMA+17LM+XENON+BC++,19.990 €,ca. 135 kW (184PS),100.000 km,EZ -/2014,"Benzin, ca. 6,7 l/100 km (komb.)*, ca. 157 g CO₂/km (komb.)*, B",gefunden auf hey.car,https://www.12gebrauchtwagen.de/c/16/971745057?num_on_page=1&page=1&premium=false&title=Autosuche%3A+Gebrauchtwagen+suchen+und+vergleichen+-+12Gebrauchtwagen.d-1745057?num_on_page=1&page=1&premium=false&title=Autosuche%3A+Gebrauchtwagen+suchen+und+vergleichen+-+12Gebrauchtwagen.de
11,BMW X3 xDrive30e,44.739 €,ca. 135 kW (184PS),38.843 km,EZ 04/2020,"Hybrid, ca. 0 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972354040?num_on_page=2&page=1&premium=false&title=Autosuche%3A+Gebrauchtwagen+suchen+und+vergleichen+-+12Gebrauchtwagen.d-2354040?num_on_page=2&page=1&premium=false&title=Autosuche%3A+Gebrauchtwagen+suchen+und+vergleichen+-+12Gebrauchtwagen.de
11,BMW 550 Touring xDrive NAV+LED+AHK+VCOCKPIT+20ZOLL,44.749 €,ca. 294 kW (400PS),112.450 km,EZ 03/2019,"Diesel, ca. 6,5 l/100 km (komb.)*, ca. 200 g CO₂/km (komb.)*, B",gefunden auf autoscout24.de,https://www.12gebrauchtwagen.de/c/4/971984604?num_on_page=2&page=1&premium=false&title=Alle+gebrauchten+BMW+5er+in+Essen+auf+einen+Blick+%7C+12Gebrauchtwagen.d-984604?num_on_page=2&page=1&premium=false&title=Alle+gebrauchten+BMW+5er+in+Essen+auf+einen+Blick+%7C+12Gebrauchtwagen.de
11,BMW X2 sDrive18i,27.905 €,ca. 103 kW (140PS),23.658 km,EZ 04/2020,"Benzin, ca. 5,5 l/100 km (komb.)*, ca. 125 g CO₂/km (komb.)*, B",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972354888?num_on_page=1&page=1&premium=false&title=Autosuche%3A+Gebrauchtwagen+suchen+und+vergleichen+-+12Gebrauchtwagen.d-2354888?num_on_page=1&page=1&premium=false&title=Autosuche%3A+Gebrauchtwagen+suchen+und+vergleichen+-+12Gebrauchtwagen.de
11,BMW X4 xDrive30d,50.499 €,ca. 195 kW (265PS),72.952 km,EZ 06/2019,"Diesel, ca. 6,0 l/100 km (komb.)*, ca. 158 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972354102?num_on_page=1&page=1&premium=false&title=BMW+X4+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2354102?num_on_page=1&page=1&premium=false&title=BMW+X4+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW 520d Touring,51.890 €,ca. 140 kW (190PS),24.959 km,EZ 12/2021,"Diesel, ca. 4,3 l/100 km (komb.)*, ca. 113 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972348143?num_on_page=2&page=1&premium=false&title=BMW+520+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2348143?num_on_page=2&page=1&premium=false&title=BMW+520+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW 430i Cabrio,51.770 €,ca. 180 kW (245PS),18.878 km,EZ 06/2022,"Benzin, ca. 0 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972345015?num_on_page=1&page=1&premium=false&title=Alle+gebrauchten+BMW+4er+Cabrio+auf+einen+Blick+%7C+12Gebrauchtwagen.d-2345015?num_on_page=1&page=1&premium=false&title=Alle+gebrauchten+BMW+4er+Cabrio+auf+einen+Blick+%7C+12Gebrauchtwagen.de
11,BMW 225xe iPerformance Active Tourer,26.895 €,ca. 100 kW (136PS),30.600 km,EZ 02/2020,"Hybrid, ca. 0 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972342215?num_on_page=2&page=1&premium=false&title=BMW+2er+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2342215?num_on_page=2&page=1&premium=false&title=BMW+2er+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW 118i 5-Türer,21.806 €,ca. 100 kW (136PS),19.788 km,EZ 12/2018,"Benzin, ca. 6,0 l/100 km (komb.)*, ca. 137 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972343782?num_on_page=2&page=1&premium=false&title=BMW+118+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2343782?num_on_page=2&page=1&premium=false&title=BMW+118+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW 630d Gran Turismo,41.376 €,ca. 195 kW (265PS),74.886 km,EZ 08/2018,"Diesel, ca. 5,7 l/100 km (komb.)*, ca. 150 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972334936?num_on_page=1&page=1&premium=false&title=Alle+gebrauchten+BMW+6er+Gran+Coup%C3%A9+auf+einen+Blick+%7C+12Gebrauchtwagen.d-2334936?num_on_page=1&page=1&premium=false&title=Alle+gebrauchten+BMW+6er+Gran+Coup%C3%A9+auf+einen+Blick+%7C+12Gebrauchtwagen.de
